Country,Code,Year,Other sources (tonnes),Waste (tonnes),Industry (tonnes),Residential & commercial (tonnes),Transport (tonnes),Agriculture (tonnes),Forestry (tonnes),Land use sources (tonnes),Energy (tonnes)
Antigua and Barbuda,AG,2001,6629.4,13850.9,61296.9,44336.6,120213.1,38232,-3768,14631.1,118136.5
Antigua and Barbuda,AG,2002,6579.3,14096.6,62655.3,42942.3,122269.2,38791.2,-3768,14705,122386.4
Antigua and Barbuda,AG,2003,6831.3,14301.8,64042.9,51323.8,124047.2,39507.2,-3768,14779.5,122133.6
Antigua and Barbuda,AG,2004,7241.3,14555.9,65569,56274,137320.4,39740.7,-3768,14854.6,131467.9
Antigua and Barbuda,AG,2005,7144.1,14834.1,67203.9,56887.7,138184.8,39512.4,-3768,14930.3,132710.6
Antigua and Barbuda,AG,2006,7136.9,15153.8,68558,59719.7,140253.7,39615.9,93438.1,0,134986.7
Antigua and Barbuda,AG,2007,7289.3,15554.3,69999.8,61542.6,147225.3,40627.1,93438.1,0,138723.3
Antigua and Barbuda,AG,2008,7525.8,15977.1,71442.7,63870.4,152245.2,40405,93438.1,0,142322.6
Antigua and Barbuda,AG,2009,7653,16395.2,72854.9,66197.9,157255.3,40214.9,93438.1,0,146226.6
Antigua and Barbuda,AG,2010,7780.2,16850.9,74268.2,68525.5,161276.3,22105.5,93438.1,0,150130.6
Anguilla,AI,1990,13.3,712.8,15.1,1.5,,0,-15504.2,0,3017.5
Anguilla,AI,1991,13.5,703.7,15.5,1,,0,-15504.2,0,2883.2
Anguilla,AI,1992,13.5,699.2,15.9,1.6,,0,-15504.2,0,2758.3
Anguilla,AI,1993,13.5,701,16.1,2.1,,0,-15504.2,0,2396.8
Anguilla,AI,1994,14.1,711.2,16.4,2.1,,0,-15504.2,0,2335.2
Anguilla,AI,1995,15.8,731.2,16.6,2.2,,0,-15504.2,0,2311.6
Anguilla,AI,1996,16.1,782.2,16.8,2.2,,0,-15504.2,0,2276.7
Anguilla,AI,1997,16.3,840.7,17,2.2,,0,-15504.2,0,2206.7
Anguilla,AI,1998,16.7,905,17.1,2.2,,0,-15504.2,0,2123.1
Anguilla,AI,1999,17,971.3,17.3,2.2,,0,-15504.2,0,2038.2
Anguilla,AI,2000,17.2,1037.1,17.4,2.2,0,0,-15504.2,0,2039.4
Anguilla,AI,2001,17.5,1054.3,17.2,2.3,0,0,-10326.1,0,2040.7
Anguilla,AI,2002,17.8,1067.2,17,2.3,0,0,-10326.1,0,2179.6
Anguilla,AI,2003,18,1076.2,16.8,2.3,0,0,-10326.1,0,2043.3
Anguilla,AI,2004,18.4,1082.6,16.5,2.3,0,0,-10326.1,0,2044.9
Anguilla,AI,2005,18.5,1086.8,16.3,2.3,0,0,-10326.1,0,2045.6
Anguilla,AI,2006,18.8,1092.2,16.5,2.3,0,0,52439.7,0,2047.1
Anguilla,AI,2007,19.1,1097,16.8,2.3,0,0,52439.7,0,2048.4
Anguilla,AI,2008,19.4,1102.2,17.1,2.3,0,0,52439.7,0,2049.6
Anguilla,AI,2009,19.6,1107.4,17.3,2.3,0,0,52439.7,0,2050.9
Anguilla,AI,2010,19.9,1112.8,17.6,2.3,0,0,52439.7,0,2052.3
Albania,AL,1990,37381.5,247227.7,850964.4,2498406.4,721056.3,3251439.6,-36666.7,625615.3,3377086.6
Albania,AL,1991,26787.4,245162.3,464380.1,1672038.9,543714.1,2922115.4,-36666.7,626805.4,2366108.5
Albania,AL,1992,19759,247918.6,367757.6,875597.6,418427.4,2855588,-36666.7,628001.5,1445206.2
Albania,AL,1993,21872.2,255774.7,245680.1,672776.2,518094.8,3052448,-36666.7,629203.6,1344626.1
Albania,AL,1994,27736.4,262754.9,248516.1,600523,646527.8,3846980.2,-36666.7,630411.6,1444667.3
Albania,AL,1995,22680.5,261819.3,239054.1,578430.1,637622.7,3900955.6,-36666.7,631625.6,1140381.9
Albania,AL,1996,20549.8,270024.3,218693.9,703443.1,633750.4,3604401.1,-36666.7,621875,1030258.3
Albania,AL,1997,18291.3,266518.1,186406.9,605201.9,500488.5,3362202.6,-36666.7,640770,795765.4
Albania,AL,1998,26978.1,269868.9,161441.9,514176.8,754012.6,3283987.7,-36666.7,627243.2,873654.7
Albania,AL,1999,36970.5,276921.4,189130.5,987094.7,1433382.5,3285418.1,-36666.7,625423.2,1019066.7
Albania,AL,2000,110662.5,279261.3,173689.7,1009495.2,1499701.7,3382212.6,-36666.7,684987.9,1072395.1
Albania,AL,2001,36848,284106.9,243721.6,1055137,1579016.2,3288356,733333.3,157327.7,1090547.8
Albania,AL,2002,38366.1,288711.1,320226,1442299.6,1800758.5,3378699.6,733333.3,155630.6,1061701.3
Albania,AL,2003,46261.5,291234.4,412961.5,1348498.4,1961444.7,3417946.2,733333.3,160040.1,1148820
Albania,AL,2004,35864.6,295052.4,439049.7,1082837.9,1832048.5,3290401.1,733333.3,155630.6,1139311.9
Albania,AL,2005,41786.9,298376.1,402663.3,1362938.3,2392877.6,3276515.4,733333.3,156526.4,1234405.4
Albania,AL,2006,35518.3,302004.8,445950.5,1275083.1,1938942,3183381.3,-366666.7,434130.4,1454012.1
Albania,AL,2007,34933.8,305793.1,610204.4,1098116.5,2136738.1,3041644.7,-366666.7,625062.9,1338546
Albania,AL,2008,37457.2,310184.6,630458.2,886360.6,2358410.1,2858686.2,-366666.7,439737.8,1285976.1
Albania,AL,2009,32503,314800.7,618249.7,844566.7,2389275.1,2769297.6,-366666.7,435409.9,1200329.9
Albania,AL,2010,33495.9,319805,672741.1,932389.5,2406013.1,2788231.9,-366666.7,436038.8,1435147.2
Armenia,AM,1992,54240.5,383818.3,432253.4,2660840.1,1861774.5,1239707,128333.3,52918.8,7357491.1
Armenia,AM,1993,28399.5,377884.6,338171.3,928556.3,1209289.3,1097797.6,128333.3,52835.1,3902088.9
Armenia,AM,1994,10137.2,391238.5,295308.5,1083316.8,162398.7,1025280.8,128333.3,52751.4,2667331.8
Armenia,AM,1995,10517,384872.9,342437.3,1364111.2,115998.5,1011836.9,128333.3,52667.5,3020238.6
Armenia,AM,1996,9513.4,389395.7,367113.2,363948.5,60899.2,1023219.5,128333.3,52450.3,3310731.1
Armenia,AM,1997,10175.5,391589.8,372988.5,443213.1,63799.3,1001062.9,128333.3,52375.8,3982778.3
Armenia,AM,1998,10921.8,398919.7,381098.6,458111.1,69599.1,957806.4,128333.3,54281.8,4087230.6
Armenia,AM,1999,9962.8,399947.9,381075.7,380818.7,72499.2,943608.6,128333.3,52205.8,3874430.1
Armenia,AM,2000,15346.5,401694.4,362013.2,529620.4,580000,955470.7,128333.3,51880.3,3630724.1
Armenia,AM,2001,14692.8,406700,414858.5,552650.4,577000,978580.9,117333.3,34671.9,3588633.5
Armenia,AM,2002,13007.2,410458.3,471778.1,656316.3,551000,1086866,117333.3,34480.8,2986122.4
Armenia,AM,2003,13823.1,416252.6,537733.7,834593.5,595000,1088613.1,117333.3,34624.7,3193921
Armenia,AM,2004,14510.1,419795.6,663363,995117.7,580000,1168634.9,117333.3,34636.8,3250815.3
Armenia,AM,2005,14804.7,424001.9,820926,1154546.2,560000,1147015.1,117333.3,34716.6,3812723.8
Armenia,AM,2006,14966.6,428517.5,848610,1144507.9,525000,1188525,124666.7,412894.1,3935296
Armenia,AM,2007,15045.5,329948.7,945757.8,1285816.7,516000,1211624.4,124666.7,410719.7,4494669.7
Armenia,AM,2008,29472.7,336239.6,1019384.6,1425329.4,2750000,1213385.9,124666.7,410413.9,5090686.3
Armenia,AM,2009,25330.8,342921,1064530.3,1325026.6,2500000,1158936.4,124666.7,409409.8,4122305.6
Armenia,AM,2010,25435.8,350409.9,1143677.7,1425359.8,2760000,1124453.5,124666.7,408955,3562072.5
Angola,AO,1990,1717245.3,1183228.6,183509.6,892102.3,1017777.8,26480370.8,34466666.7,107947644.7,15903308.4
Angola,AO,1991,1246212.6,1219594.6,187870.9,925555.7,1256947.4,26556690.6,34466666.7,107947342.1,16000617.2
Angola,AO,1992,2539601,1268932.1,213641.9,862840.2,1189144.6,26651267.4,34466666.7,107947038.2,16340201
Angola,AO,1993,960457.7,1316880.2,158778.5,783531.8,1212593.1,26530341.5,34466666.7,107946733.1,16578925.6
Angola,AO,1994,1314220.4,1370258.8,181718,1005320.5,1541430.7,26497965.5,34466666.7,107946426.7,15243706.4
Angola,AO,1995,1373179.3,1413593.2,181611.1,1043552.5,1070209.5,26424574.1,34466666.7,107946119,18174096.9
Angola,AO,1996,1028264,1466063.4,168443,1299095.8,990584.4,25546181.3,34466666.7,110473546.4,22019976.7
Angola,AO,1997,61442.6,1516317.9,182427.4,1307805.9,1052600.1,25190279.9,34466666.7,105228780.9,23031983.8
Angola,AO,1998,49103.1,1557556.4,203825.5,1424614.9,836206.1,27856700.8,34466666.7,115792642.8,24387673.3
Angola,AO,1999,54080.7,1604296,203883.2,1681203.2,1158207.5,25826593.6,34466666.7,108689630.7,24713971.5
Angola,AO,2000,64290.1,1663175.4,204291.6,1487479.4,1070000,26607818.7,34466666.7,108173121,23186469.2
Angola,AO,2001,72469.7,1721783.3,290862.1,1618883.5,1200000,26930379,34466666.7,88862180.1,22262607.5
Angola,AO,2002,83399.1,1787578.7,310913.1,1661555,1480000,26618381.4,34466666.7,106563778.9,21767046.2
Angola,AO,2003,106526.5,1858957.9,356019.1,1652916.3,3186802.5,29914021.7,34466666.7,109938915.4,21161293.8
Angola,AO,2004,77307.9,1928644,381113,1716238.4,2979356,30756433.3,34466666.7,120362004.7,22627292.4
Angola,AO,2005,65687.7,2000103.1,622067.6,1433927.9,2334509.7,30753918.5,34466666.7,121873437.4,22288572.3
Angola,AO,2006,116884.8,2077712.9,640661.3,2345433.1,3033363.2,27769266.9,34466666.7,95807092.1,20338019.9
Angola,AO,2007,102432.8,2161037.1,649696.1,2468683,3985366.8,30053591.8,34466666.7,115719071.9,20172021.9
Angola,AO,2008,115559.2,2251211.2,647820.7,2883565,3635795.4,28524018.7,34466666.7,98876744,20414150.6
Angola,AO,2009,126566.8,2346561.7,651691.8,3320917.3,4265266.3,28854882.5,34466666.7,99715480.3,20864808.4
Angola,AO,2010,145054.9,2450438.6,710612.9,3577817.5,5788296,30287011.9,34466666.7,104195853.7,20755194.3
Argentina,AR,1990,1160567.1,7724634.6,5177642.4,22689209.4,28534276.9,106365213.2,58666666.7,131807690.2,66986106.9
Argentina,AR,1991,1153575.5,7850924.9,5406155,22859211,30056381.8,105062756.5,58666666.7,132273366.8,69676113.8
Argentina,AR,1992,1239983.1,7917268.4,4484839.1,23076345.9,32218930.3,106696913.6,58666666.7,132746961.3,70192570.8
Argentina,AR,1993,1328980.5,7994921.2,4718129.9,25650671.3,35835506.5,105025681.7,58666666.7,133228677.5,67172328.2
Argentina,AR,1994,1091449.3,8418105.2,5000373.9,26569727.6,38126383.7,106677642,58666666.7,133718725.9,68743830.5
Argentina,AR,1995,1174894.7,8521118.3,4732204.5,26986497.4,40118587.9,105823548.3,58666666.7,134217324.7,68595647
Argentina,AR,1996,1283212,8492333.5,4837848.9,29568229.9,42224425.5,104332976,58666666.7,134582911.6,76227978.5
Argentina,AR,1997,1329411.1,8967188.9,6144431.6,26930217.9,43436918.9,103279923.9,58666666.7,134928360.5,78223718.2
Argentina,AR,1998,1255547.2,8807154.1,6440365.8,27016396.4,45952704,100535261.4,58666666.7,136979380.5,89634101.5
Argentina,AR,1999,1322826.9,8912747.3,6540574,28690631.7,44562978.1,103001907.8,58666666.7,137894925.7,87389679.5
Argentina,AR,2000,1262605.5,9961166.6,6770092.6,28081729.6,44343382.6,105211001.6,58666666.7,135228625.1,87847652.8
Argentina,AR,2001,1218904.9,9330782,7192659.7,26711603.3,39300549.1,109223534.8,79200000,143995984.2,82292527.1
Argentina,AR,2002,1078111,9423900.4,6761327.6,25710905.3,33220988.4,109017128.4,79200000,148862737.8,77533921.5
Argentina,AR,2003,1246446,9588881.9,7580498.8,28079394.1,33810856.4,118381878.8,79200000,149045414.7,84436890.7
Argentina,AR,2004,1190490.5,9915258.1,8059500.7,30661497.6,36389800.5,116922416.9,79200000,158176411.1,99247047.8
Argentina,AR,2005,1183749.3,9415166.3,8759504.9,32137987,39135267,116689989.9,79200000,152085161.7,98179979.1
Argentina,AR,2006,1218148.5,9633886.9,9430853.5,32896274.8,41342472.3,119703125.3,92400000,146197626.7,104759585.8
Argentina,AR,2007,1175697.3,8686472.7,10025205.2,33265896.4,41978508.1,122226129.1,92400000,136986047.5,110045980.1
Argentina,AR,2008,1233628.4,8296993,10195472.1,33128726.3,40961127.7,119123197.6,92400000,146533667.3,111505886.8
Argentina,AR,2009,1054272.2,8438408.1,9017229,33339066.1,36537359.7,110653008.9,92400000,143199330.7,108152141.5
Argentina,AR,2010,879692,8645770.5,9707140.1,35635549.3,38883384,105118775,92400000,134634876.4,105448227.2
Austria,AT,1990,294856,3206451.3,7848219.9,14402002,12930835.3,8895344.5,-12100000,2112979.2,32116230.8
Austria,AT,1991,308262,3215462.8,7445908.8,15862171,14222975.9,8743062,-12100000,2128492.5,33299423.8
Austria,AT,1992,291838.5,3211798.7,7825808.4,14886729.9,14189725.5,8576348,-12100000,2143955,29392039.8
Austria,AT,1993,292706,3239479.4,7785608.2,14692800.1,14235974.1,8526308.7,-12100000,2159366.9,29632847.8
Austria,AT,1994,289186.8,3206551.7,8013042.4,13587092.7,14253288.8,8217235,-12100000,2174728.4,31095260.9
Austria,AT,1995,283510.8,3167084.7,7842720.2,14777858.6,14401526.4,8085716.6,-12100000,2190039.8,32937003.8
Austria,AT,1996,293183.4,3084719.5,7513961,16313111.3,15685814.1,8036346.4,-12100000,2205275.8,34334532.5
Austria,AT,1997,282903,3010857.3,7546208,14470226.6,14819430.3,7885570.9,-12100000,2220461.2,36323153.3
Austria,AT,1998,289630.9,2995200.2,7232350.2,14517227.7,16681686.4,7827568,-12100000,2235631.6,36016907.6
Austria,AT,1999,270698.6,2959519.1,7470638.6,15067691,15992025.8,7741514.8,-12100000,2251451.7,34140450
Austria,AT,2000,261624.3,2915136,7760868.3,13466426.6,17021359,7534080.3,-12100000,2265880.6,33484175.3
Austria,AT,2001,270058.8,2880432.3,7936461.8,15247937.2,18052364.7,7397138.9,-7333333.3,874368.3,34400205
Austria,AT,2002,269781,2840010.1,8169777.7,14303437.9,19571863,7601217.4,-7333333.3,877354.4,35261562.9
Austria,AT,2003,288104.5,2874439.9,8413976.6,15517576.3,21298010.4,8273022.8,-7333333.3,881022.6,37576106.4
Austria,AT,2004,311420.4,2898986.5,8045729.4,14912669.1,24643416.4,6902161.6,-7333333.3,884584.1,38786512.1
Austria,AT,2005,321183.7,2835514,8123729.5,14545859.3,25065797.2,6827259,-7333333.3,886355.7,40051443
Austria,AT,2006,305305.5,2802460.3,8890087.8,12962356,23958891.7,6733511,-4400000,529441.5,40262514
Austria,AT,2007,299288.7,2745295.5,9257930.9,11181113.5,24137586.7,6612330.3,-4400000,530899.5,39124589.9
Austria,AT,2008,292990,2676174.6,9542640.3,12111331.9,23968884.9,6723787.5,-4400000,531039.8,39588172.1
Austria,AT,2009,271145.5,2680708.2,17564367.4,11286931.4,23106491.4,6613060.1,-4400000,531776.6,34751987.7
Austria,AT,2010,285408.9,2627065.4,23735217.7,12602616.6,23999648,6748474.2,-4400000,532569.7,38422346.2
Australia,AU,1990,4739134.1,11730855.9,16534682.9,15186189.3,62586285.7,161539786,-6839515.4,8155140.9,212014246.5
Australia,AU,1991,5456973.2,12045960.3,15857534.5,15307084.8,61131578.2,159941293.1,-6839515.4,8155140.9,217071084.1
Australia,AU,1992,4718992.8,12172527.1,15249011.2,15773878.5,62636902.3,156815420.9,-6839515.4,8155140.9,220725859.8
Australia,AU,1993,4181842.1,12526066.7,15298718.1,16512889.1,63762710.2,154610015.9,-6839515.4,8155140.9,223072007.8
Australia,AU,1994,6294358.2,12416920.2,15797472.8,16248168.6,65419454.4,155815688.6,-6839515.4,8155140.9,221518598
Australia,AU,1995,4225715.9,12799470.4,15499971.6,17057000.8,68142697.6,153444550.9,-6839515.4,8155140.9,228025273.3
Australia,AU,1996,4284773,11842020.8,15710944.7,17445156.1,70662361.5,144887219.7,-6839515.4,9450177.5,240981522.6
Australia,AU,1997,4793946.1,11944868.3,16066292.4,17749751,72058646.3,143412379.8,-6839515.4,11987968.9,257369455.3
Australia,AU,1998,4345190.5,11537146.9,17111162.9,18110668.3,72091871.4,150129251.4,-6839515.4,10386830.7,277204255.6
Australia,AU,1999,4955113,11899218.8,17628472.1,18120154.2,73532026.7,180041415.8,-6839515.4,12238480.7,282636900.2
Australia,AU,2000,5890154.9,11960559.6,18518005.6,17827656,75815301.3,195884524.9,-6839515.4,7122411.7,284014209.2
Australia,AU,2001,6613451.5,12246049.1,18868286,18151987.5,75191725.9,195746591.8,40333333.3,83636522.5,288854169.5
Australia,AU,2002,6284457.5,12585754.9,18934813.3,19812102,76858261.9,186291033.5,40333333.3,83832726.8,298261459.9
Australia,AU,2003,6163813.6,12051982.3,22266073.7,20945431.1,78935759.4,124668186.5,40333333.3,91929021.1,298926049.1
Australia,AU,2004,4958084.7,11865027.6,23013554.7,21582270.2,78767084.7,157127090.1,40333333.3,79963210.9,318062764.9
Australia,AU,2005,3969636.4,11969875,23519305.6,22921558.6,80302800.1,125700613.1,40333333.3,79882503.2,335691596.5
Australia,AU,2006,3297024.1,12008241.7,25149183.7,22489720.3,78047893.7,153221418.8,-3666666.7,229265597.7,340490767.4
Australia,AU,2007,6070357.3,12487356.6,25959657.7,21843356.3,79379123,141491585.4,-3666666.7,224600820.2,343325318.4
Australia,AU,2008,3083369.6,12980070.8,26517788.4,22165103.2,82115637.3,117753945.1,-3666666.7,222244963.9,356029999.8
Australia,AU,2009,3483986,13056068.4,25871424.2,22266903.1,80601718.6,124564744.4,-3666666.7,226157391.3,359499163.7
Australia,AU,2010,2542182.5,13424038.5,29026109.7,22580775.2,80607097.2,103812576.2,-3666666.7,225307772.8,357121063.9
Aruba,AW,1990,7866,13588.5,35501.3,88357.8,150459.6,2414.1,-1184,0,344924.3
Aruba,AW,1991,7755.3,13912.6,36999.1,91035.2,147438.9,0,-1184,0,352657.6
Aruba,AW,1992,7932.2,14309.6,38979.1,98125.6,149650.7,0,-1184,0,378448
Aruba,AW,1993,8368,14713.9,41199.2,110872.6,153187.5,0,-1184,0,382427.4
Aruba,AW,1994,8686.7,15178,43310.8,126038.4,167094.4,0,-1184,0,365882.1
Aruba,AW,1995,8542,15651.5,45059.8,121267.6,168839.9,0,-1184,0,370058.5
Aruba,AW,1996,4898.1,15983.5,46310.4,4898.4,133614.7,0,-1184,0,1492.8
Aruba,AW,1997,27131.4,16257.3,47230.6,7358.2,858413.6,0,-1184,0,1524.5
Aruba,AW,1998,3317.6,16535.1,47894.8,23857.3,94515,0,-1184,0,1584.8
Aruba,AW,1999,2722.8,16828,48496.1,25299.7,79171.1,0,-1184,0,1614.3
Aruba,AW,2000,2262.8,17206.8,49198.8,140648.3,60601.7,0,-1184,0,1711.5
Aruba,AW,2001,1841.5,17603,49914.1,144809.1,50704.4,0,-788.5,0,1644.7
Aruba,AW,2002,1906.2,18055.8,50829.4,150831.5,55402.4,0,-788.5,0,1747.3
Aruba,AW,2003,1632,18508.2,51646.5,158877.7,46402.9,0,-788.5,0,1599.9
Aruba,AW,2004,1597.9,18925.9,52460.4,156871.6,48303.5,0,-788.5,0,1717.5
Aruba,AW,2005,1656.5,19297.8,53072.9,156895.3,53005.4,0,-788.5,0,1801.7
Aruba,AW,2006,2008.5,19747.2,53790.1,161010.7,67805,0,4004.5,0,1972.5
Aruba,AW,2007,1735.5,20174.5,54508.2,201244.8,61911.5,0,4004.5,0,2114.6
Aruba,AW,2008,1791.8,20599,55226.2,221364.3,62911.5,0,4004.5,0,2166.7
Aruba,AW,2009,1836.9,21014.1,55942.3,242520.6,66313.6,0,4004.5,0,2289.1
Aruba,AW,2010,1882,21421.3,56660.4,264677,69615.6,0,4004.5,0,2411.5
Barbados,BB,1990,16686.8,65011.4,120137.4,288342.6,124415.2,93108.1,-17759.4,0,488727.8
Barbados,BB,1991,18816,65752.1,89296.4,277759.1,132216.8,92946.8,-17759.4,0,566011.2
Barbados,BB,1992,19866.9,65689.6,57056.7,261156.9,140443.3,92125.3,-17759.4,0,599540.5
Barbados,BB,1993,16290.6,66086.2,53916.5,235652.6,128192.3,87117.6,-17759.4,0,540764
Barbados,BB,1994,15431.6,66853.2,58893.1,229292.6,126772.2,88219.8,-17759.4,0,506889
Barbados,BB,1995,16321.5,67303.2,58755.9,227403.3,130072.1,92755.1,-17759.4,0,511907.4
Barbados,BB,1996,15546.5,68674.6,71591.5,238875,126370.2,94352.8,-17759.4,0,471988.4
Barbados,BB,1997,17650,69759.9,98945.2,193004.4,145342,89100.2,-17759.4,0,523676.3
Barbados,BB,1998,19048.1,70030.1,133941.3,148096.8,245188.6,86166.1,-17759.4,0,518769.2
Barbados,BB,1999,20085.1,71358.5,130771.8,174136.6,283037.2,82155.5,-17759.4,0,558102.8
Barbados,BB,2000,20341.2,72508,135829.3,125820.4,310207.1,77840.8,-17759.4,0,569531.4
Barbados,BB,2001,18417.5,73539.6,127938.8,94956.9,289120.7,71720.8,-11828,0,561099.6
